User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
David Newton	54	3	0	4	0	0	12	12	0	0	0	85
David.Monniaux	521	60	0	99	13	0	221	30	3	0	0	947
DavidLevinson	35	52	0	9	0	0	9	0	0	0	0	105
DavidWBrooks	1203	1	0	13	2	1	94	0	0	0	0	1314
Davidcannon	155	57	0	30	4	0	137	26	1	0	0	410
Davidgothberg	67	55	0	84	6	28	19	6	0	0	0	265
Davidruben	35	0	0	7	1	1	78	2	0	0	0	124
Davodd	191	29	0	3	3	1	23	1	0	0	0	251
Dbachmann	405	28	0	131	40	19	202	19	1	0	0	845
Dbenbenn	6085	109	0	260	583	0	26	7	0	0	0	7070
Dcoetzee	332	46	0	10	4	0	51	11	0	0	1	455
Ddstretch	13	0	0	20	5	6	207	20	6	0	0	277
Deacon of Pndapetzim	555	21	0	29	2	3	161	11	12	0	34	828
DeadEyeArrow	934	14	0	26	5	0	199	6	0	0	0	1184
Deathphoenix	1168	49	0	17	5	0	420	80	0	0	0	1739
Deb	12850	54	0	26	1	0	302	4	1	0	0	13238
Deckiller	1228	35	0	80	14	2	300	46	0	0	0	1705
Decltype	562	14	0	3	0	0	40	5	5	0	6	635
Decumanus	42	0	0	3	0	0	12	0	0	0	0	57
Deiz	951	15	0	162	8	3	392	20	0	0	0	1551
Dekimasu	1059	62	0	13	1	0	16	0	0	0	1	1152
