User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Coffee	1404	180	0	0	178	10	71	409	15	90	0	11	2368
Coffeedrinker87	0	0	0	0	1	0	0	0	0	0	0	0	1
Cohesion	6798	46	0	0	2	18	1	3	0	0	0	0	6868
Colds7ream	136	8	0	0	2	1	0	2	0	0	0	2	151
Commander Keane	4781	229	0	0	41	22	0	150	29	0	0	1	5253
Conscious	13449	65	0	0	2	2	0	56	0	0	0	0	13574
Consumed Crustacean	735	23	0	0	46	3	1	354	36	1	0	0	1199
Conti	464	45	0	0	12	38	3	73	3	0	0	1	639
Cool Hand Luke	938	573	0	0	62	12	20	80	16	0	0	0	1701
Cool3	35	0	0	0	3	2	0	22	1	2	0	3	68
Coralmizu	168	2	0	0	23	1	2	47	2	1	0	0	246
Coredesat	11148	136	0	0	235	25	11	494	60	0	0	0	12109
Coren	859	23	41	1	55	7	6	191	35	3	0	1	1222
Cowman109	433	36	0	0	101	43	4	360	44	0	0	0	1021
Craigy144	3099	11	0	0	8	3	1	38	0	0	0	1	3161
Crazycomputers	443	8	0	0	54	15	6	717	40	2	0	3	1288
Crazytales	162	15	0	0	19	1	2	117	18	0	0	0	334
Cremepuff222	176	6	0	0	3	2	1	98	5	0	0	0	291
Croat Canuck	83	3	0	0	1	1	0	5	1	0	0	0	94
Crum375	183	18	0	0	93	6	18	259	13	1	0	0	591
Cryptic	9383	238	0	0	136	15	1	322	21	0	0	0	10116
CryptoDerk	1091	1	0	0	67	9	0	1014	45	0	0	0	2227
Crzrussian	5139	133	0	0	156	28	0	150	13	0	0	0	5619
Cuchullain	374	74	0	0	14	1	3	40	0	0	0	0	506
Curps	5148	166	0	0	461	101	0	26558	1065	0	0	0	33499
Cutler	69	0	0	0	0	0	0	7	0	0	0	0	76
CyborgTosser	2	0	0	0	0	0	0	0	0	0	0	0	2
Cyde	19098	109	0	0	258	32	2	830	168	0	0	0	20497
Cydebot	17779	0	0	0	0	0	0	0	0	0	0	0	17779
Cyp	3	0	0	0	0	0	0	0	0	0	0	0	3
Cyrius	1626	101	0	0	28	13	0	71	8	0	0	0	1847
D. Recorder	172	18	0	0	2	0	0	34	2	0	0	0	228
DDima	540	9	0	0	1	0	0	1	0	0	0	0	551
DESiegel	1535	186	0	0	11	2	0	44	30	1	0	1	1810
DGG	10136	234	0	0	259	7	12	120	10	7	0	1	10786
DJ Clayworth	6701	35	0	0	40	11	2	367	18	6	0	0	7180
DMacks	5782	57	0	0	334	13	59	1005	11	100	0	1	7362
DO11.10	417	28	0	0	2	0	0	5	1	0	0	2	455
DVD R W	6129	53	0	0	54	17	7	962	21	0	0	3	7246
DYKUpdateBot	85	0	0	0	0	0	0	0	0	0	0	0	85
DaGizza	1095	1	0	0	8	4	1	54	3	0	0	0	1166
Dale Arnett	69	1	0	0	2	0	0	4	0	0	0	0	76
Dan100	294	16	0	0	18	12	0	186	44	0	0	0	570
DanKeshet	104	1	0	0	6	0	0	2	0	0	0	0	113
DanMS	65	0	0	0	2	1	0	0	0	0	0	0	68
Danaman5	284	4	0	0	6	0	0	4	4	0	0	1	303
Daniel	4953	266	0	0	632	41	66	567	76	4	0	13	6618
Daniel Case	2448	35	27	169	312	16	8	5355	179	38	0	13	8600
Daniel J. Leivick	766	7	0	0	19	1	0	85	5	2	0	0	885
Daniel Olsen	711	1	0	0	10	0	0	84	2	0	0	0	808
Daniel Quinlan	54	3	0	0	0	2	0	2	0	0	0	0	61
DanielCD	243	1	0	0	15	11	0	37	2	0	0	0	309
